id,emp_name,sales_date,sales_target,actual_sales
3001,Aryan Mishra,2026-01-01,14500,11400
3001,Aryan Mishra,2026-01-02,14500,12200
3001,Aryan Mishra,2026-01-03,14500,8300
3001,Aryan Mishra,2026-01-05,14500,14900
3001,Aryan Mishra,2026-01-06,14500,14600
3001,Aryan Mishra,2026-01-07,14500,10600
3001,Aryan Mishra,2026-01-08,14500,15700
3001,Aryan Mishra,2026-01-09,14500,14300
3001,Aryan Mishra,2026-01-10,14500,15700
3001,Aryan Mishra,2026-01-12,14500,11200
3001,Aryan Mishra,2026-01-13,14500,11700
3001,Aryan Mishra,2026-01-14,14500,10200
3001,Aryan Mishra,2026-01-15,14500,12200
3001,Aryan Mishra,2026-01-16,14500,12900
3001,Aryan Mishra,2026-01-17,14500,0
3001,Aryan Mishra,2026-01-19,14500,13900
3001,Aryan Mishra,2026-01-20,14500,10600
3001,Aryan Mishra,2026-01-21,14500,12700
3001,Aryan Mishra,2026-01-22,14500,12200
3001,Aryan Mishra,2026-01-23,14500,12300
3001,Aryan Mishra,2026-01-24,14500,16600
3001,Aryan Mishra,2026-01-26,14500,11600
3001,Aryan Mishra,2026-01-27,14500,12600
3001,Aryan Mishra,2026-01-28,14500,15400
3001,Aryan Mishra,2026-01-29,14500,13100
3001,Aryan Mishra,2026-01-30,14500,16100
3001,Aryan Mishra,2026-01-31,14500,10300
3001,Aryan Mishra,2026-02-02,14500,17800
3001,Aryan Mishra,2026-02-03,14500,18200
3001,Aryan Mishra,2026-02-04,14500,18400
3001,Aryan Mishra,2026-02-05,14500,11900
3001,Aryan Mishra,2026-02-06,14500,12600
3001,Aryan Mishra,2026-02-07,14500,11900
3001,Aryan Mishra,2026-02-09,14500,16900
3001,Aryan Mishra,2026-02-10,14500,12700
3001,Aryan Mishra,2026-02-11,14500,17300
3001,Aryan Mishra,2026-02-12,14500,16200
3001,Aryan Mishra,2026-02-13,14500,15800
3001,Aryan Mishra,2026-02-14,14500,15700
3001,Aryan Mishra,2026-02-16,14500,16700
3001,Aryan Mishra,2026-02-17,14500,18500
3001,Aryan Mishra,2026-02-18,14500,13700
3001,Aryan Mishra,2026-02-19,14500,16600
3001,Aryan Mishra,2026-02-20,14500,11500
3001,Aryan Mishra,2026-02-21,14500,12400
3001,Aryan Mishra,2026-02-23,14500,13700
3001,Aryan Mishra,2026-02-24,14500,14100
3001,Aryan Mishra,2026-02-25,14500,12800
3001,Aryan Mishra,2026-02-26,14500,10800
3001,Aryan Mishra,2026-02-27,14500,13900
3001,Aryan Mishra,2026-02-28,14500,0
3001,Aryan Mishra,2026-03-02,14500,13900
3001,Aryan Mishra,2026-03-03,14500,18000
3001,Aryan Mishra,2026-03-04,14500,16200
3001,Aryan Mishra,2026-03-05,14500,17000
3001,Aryan Mishra,2026-03-06,14500,15800
3001,Aryan Mishra,2026-03-07,14500,12700
3001,Aryan Mishra,2026-03-09,14500,9300
3001,Aryan Mishra,2026-03-10,14500,16200
3001,Aryan Mishra,2026-03-11,14500,0
3001,Aryan Mishra,2026-03-12,14500,14400
3001,Aryan Mishra,2026-03-13,14500,15900
3001,Aryan Mishra,2026-03-14,14500,10900
3001,Aryan Mishra,2026-03-16,14500,16100
3001,Aryan Mishra,2026-03-17,14500,13900
3001,Aryan Mishra,2026-03-18,14500,15800
3001,Aryan Mishra,2026-03-19,14500,11500
3001,Aryan Mishra,2026-03-20,14500,18700
3001,Aryan Mishra,2026-03-21,14500,16000
3001,Aryan Mishra,2026-03-23,14500,14300
3001,Aryan Mishra,2026-03-24,14500,10700
3001,Aryan Mishra,2026-03-25,14500,15100
3001,Aryan Mishra,2026-03-26,14500,14100
3001,Aryan Mishra,2026-03-27,14500,8700
3001,Aryan Mishra,2026-03-28,14500,10800
3001,Aryan Mishra,2026-03-30,14500,17300
3001,Aryan Mishra,2026-03-31,14500,14300
