id,emp_name,sales_date,sales_target,actual_sales
2001,Kabir Singh,2026-01-01,15000,14400
2001,Kabir Singh,2026-01-02,15000,13200
2001,Kabir Singh,2026-01-03,15000,11100
2001,Kabir Singh,2026-01-05,15000,9700
2001,Kabir Singh,2026-01-06,15000,14300
2001,Kabir Singh,2026-01-07,15000,15000
2001,Kabir Singh,2026-01-08,15000,10600
2001,Kabir Singh,2026-01-09,15000,10700
2001,Kabir Singh,2026-01-10,15000,14900
2001,Kabir Singh,2026-01-12,15000,10300
2001,Kabir Singh,2026-01-13,15000,11100
2001,Kabir Singh,2026-01-14,15000,9400
2001,Kabir Singh,2026-01-15,15000,11900
2001,Kabir Singh,2026-01-16,15000,14800
2001,Kabir Singh,2026-01-17,15000,15500
2001,Kabir Singh,2026-01-19,15000,14900
2001,Kabir Singh,2026-01-20,15000,13600
2001,Kabir Singh,2026-01-21,15000,15000
2001,Kabir Singh,2026-01-22,15000,11000
2001,Kabir Singh,2026-01-23,15000,15100
2001,Kabir Singh,2026-01-24,15000,9900
2001,Kabir Singh,2026-01-26,15000,12200
2001,Kabir Singh,2026-01-27,15000,13400
2001,Kabir Singh,2026-01-28,15000,13500
2001,Kabir Singh,2026-01-29,15000,11000
2001,Kabir Singh,2026-01-30,15000,12800
2001,Kabir Singh,2026-01-31,15000,15200
2001,Kabir Singh,2026-02-02,15000,14000
2001,Kabir Singh,2026-02-03,15000,15500
2001,Kabir Singh,2026-02-04,15000,9600
2001,Kabir Singh,2026-02-05,15000,8900
2001,Kabir Singh,2026-02-06,15000,10000
2001,Kabir Singh,2026-02-07,15000,10900
2001,Kabir Singh,2026-02-09,15000,14100
2001,Kabir Singh,2026-02-10,15000,13700
2001,Kabir Singh,2026-02-11,15000,7400
2001,Kabir Singh,2026-02-12,15000,13600
2001,Kabir Singh,2026-02-13,15000,14100
2001,Kabir Singh,2026-02-14,15000,12900
2001,Kabir Singh,2026-02-16,15000,12400
2001,Kabir Singh,2026-02-17,15000,9900
2001,Kabir Singh,2026-02-18,15000,13400
2001,Kabir Singh,2026-02-19,15000,11000
2001,Kabir Singh,2026-02-20,15000,15300
2001,Kabir Singh,2026-02-21,15000,11900
2001,Kabir Singh,2026-02-23,15000,0
2001,Kabir Singh,2026-02-24,15000,13300
2001,Kabir Singh,2026-02-25,15000,9500
2001,Kabir Singh,2026-02-26,15000,12400
2001,Kabir Singh,2026-02-27,15000,13100
2001,Kabir Singh,2026-02-28,15000,14500
2001,Kabir Singh,2026-03-02,15000,13800
2001,Kabir Singh,2026-03-03,15000,12500
2001,Kabir Singh,2026-03-04,15000,12400
2001,Kabir Singh,2026-03-05,15000,9500
2001,Kabir Singh,2026-03-06,15000,12600
2001,Kabir Singh,2026-03-07,15000,8500
2001,Kabir Singh,2026-03-09,15000,16400
2001,Kabir Singh,2026-03-10,15000,15100
2001,Kabir Singh,2026-03-11,15000,11800
2001,Kabir Singh,2026-03-12,15000,15400
2001,Kabir Singh,2026-03-13,15000,19200
2001,Kabir Singh,2026-03-14,15000,0
2001,Kabir Singh,2026-03-16,15000,0
2001,Kabir Singh,2026-03-17,15000,17100
2001,Kabir Singh,2026-03-18,15000,11700
2001,Kabir Singh,2026-03-19,15000,14700
2001,Kabir Singh,2026-03-20,15000,14900
2001,Kabir Singh,2026-03-21,15000,13300
2001,Kabir Singh,2026-03-23,15000,15300
2001,Kabir Singh,2026-03-24,15000,10800
